wtB,B,shift_t,R,wA,cA,required_f,Kres,status
3,324,2,13,4,2,2,0,PASS
3,648,3,14,4,2,2,0,PASS
4,83,0,11,3,2,2,0,PASS
4,166,1,12,3,2,2,0,PASS
4,332,2,13,3,2,2,0,PASS
4,664,3,14,3,2,2,0,PASS
4,85,0,11,3,2,2,0,PASS
4,170,1,12,3,2,2,0,PASS
4,340,2,13,3,2,2,0,PASS
4,680,3,14,3,2,2,0,PASS
5,87,0,11,2,1,2,1,PASS
5,174,1,12,2,1,2,1,PASS
5,348,2,13,2,1,2,1,PASS
5,696,3,14,2,1,2,1,PASS
4,89,0,11,3,2,2,0,PASS
4,178,1,12,3,2,2,0,PASS
4,356,2,13,3,2,2,0,PASS
4,712,3,14,3,2,2,0,PASS
5,91,0,11,2,1,2,1,PASS
5,182,1,12,2,1,2,1,PASS
5,364,2,13,2,1,2,1,PASS
5,728,3,14,2,1,2,1,PASS
5,93,0,11,2,1,2,1,PASS
5,186,1,12,2,1,2,1,PASS
5,372,2,13,2,1,2,1,PASS
5,744,3,14,2,1,2,1,PASS
6,95,0,11,1,0,2,2,PASS
6,190,1,12,1,0,2,2,PASS
6,380,2,13,1,0,2,2,PASS
6,760,3,14,1,0,2,2,PASS
4,99,0,11,3,2,2,0,PASS
4,198,1,12,3,2,2,0,PASS
4,396,2,13,3,2,2,0,PASS
4,792,3,14,3,2,2,0,PASS
4,101,0,11,3,2,2,0,PASS
4,202,1,12,3,2,2,0,PASS
4,404,2,13,3,2,2,0,PASS
4,808,3,14,3,2,2,0,PASS
5,103,0,11,2,1,2,1,PASS
5,206,1,12,2,1,2,1,PASS
5,412,2,13,2,1,2,1,PASS
5,824,3,14,2,1,2,1,PASS
4,105,0,11,3,2,2,0,PASS
4,210,1,12,3,2,2,0,PASS
4,420,2,13,3,2,2,0,PASS
4,840,3,14,3,2,2,0,PASS
5,107,0,11,2,1,2,1,PASS
5,214,1,12,2,1,2,1,PASS
5,428,2,13,2,1,2,1,PASS
5,856,3,14,2,1,2,1,PASS
5,109,0,11,2,1,2,1,PASS
5,218,1,12,2,1,2,1,PASS
5,436,2,13,2,1,2,1,PASS
5,872,3,14,2,1,2,1,PASS
6,111,0,11,1,0,2,2,PASS
6,222,1,12,1,0,2,2,PASS
6,444,2,13,1,0,2,2,PASS
6,888,3,14,1,0,2,2,PASS
4,113,0,11,3,2,2,0,PASS
4,226,1,12,3,2,2,0,PASS
4,452,2,13,3,2,2,0,PASS
4,904,3,14,3,2,2,0,PASS
5,115,0,11,2,1,2,1,PASS
5,230,1,12,2,1,2,1,PASS
5,460,2,13,2,1,2,1,PASS
5,920,3,14,2,1,2,1,PASS
5,117,0,11,2,1,2,1,PASS
5,234,1,12,2,1,2,1,PASS
5,468,2,13,2,1,2,1,PASS
5,936,3,14,2,1,2,1,PASS
6,119,0,11,1,0,2,2,PASS
6,238,1,12,1,0,2,2,PASS
6,476,2,13,1,0,2,2,PASS
6,952,3,14,1,0,2,2,PASS
5,121,0,11,2,1,2,1,PASS
5,242,1,12,2,1,2,1,PASS
5,484,2,13,2,1,2,1,PASS
5,968,3,14,2,1,2,1,PASS
6,123,0,11,1,0,2,2,PASS
6,246,1,12,1,0,2,2,PASS
6,492,2,13,1,0,2,2,PASS
6,984,3,14,1,0,2,2,PASS
6,125,0,11,1,0,2,2,PASS
6,250,1,12,1,0,2,2,PASS
6,500,2,13,1,0,2,2,PASS
6,1000,3,14,1,0,2,2,PASS
3,137,0,12,4,2,2,0,PASS
3,274,1,13,4,2,2,0,PASS
3,548,2,14,4,2,2,0,PASS
3,1096,3,15,4,2,2,0,PASS
4,139,0,12,3,2,2,0,PASS
4,278,1,13,3,2,2,0,PASS
4,556,2,14,3,2,2,0,PASS
4,1112,3,15,3,2,2,0,PASS
4,141,0,12,3,2,2,0,PASS
4,282,1,13,3,2,2,0,PASS
4,564,2,14,3,2,2,0,PASS
4,1128,3,15,3,2,2,0,PASS
5,143,0,12,2,1,2,1,PASS
5,286,1,13,2,1,2,1,PASS
5,572,2,14,2,1,2,1,PASS
5,1144,3,15,2,1,2,1,PASS
3,145,0,12,4,2,2,0,PASS
3,290,1,13,4,2,2,0,PASS
3,580,2,14,4,2,2,0,PASS
3,1160,3,15,4,2,2,0,PASS
4,147,0,12,3,2,2,0,PASS
4,294,1,13,3,2,2,0,PASS
4,588,2,14,3,2,2,0,PASS
4,1176,3,15,3,2,2,0,PASS
4,149,0,12,3,2,2,0,PASS
4,298,1,13,3,2,2,0,PASS
4,596,2,14,3,2,2,0,PASS
4,1192,3,15,3,2,2,0,PASS
5,151,0,12,2,1,2,1,PASS
5,302,1,13,2,1,2,1,PASS
5,604,2,14,2,1,2,1,PASS
5,1208,3,15,2,1,2,1,PASS
4,153,0,12,3,2,2,0,PASS
4,306,1,13,3,2,2,0,PASS
4,612,2,14,3,2,2,0,PASS
4,1224,3,15,3,2,2,0,PASS
5,155,0,12,2,1,2,1,PASS
5,310,1,13,2,1,2,1,PASS
5,620,2,14,2,1,2,1,PASS
5,1240,3,15,2,1,2,1,PASS
5,157,0,12,2,1,2,1,PASS
5,314,1,13,2,1,2,1,PASS
5,628,2,14,2,1,2,1,PASS
5,1256,3,15,2,1,2,1,PASS
6,159,0,12,1,0,2,2,PASS
6,318,1,13,1,0,2,2,PASS
6,636,2,14,1,0,2,2,PASS
6,1272,3,15,1,0,2,2,PASS
4,163,0,12,3,2,2,0,PASS
4,326,1,13,3,2,2,0,PASS
4,652,2,14,3,2,2,0,PASS
4,1304,3,15,3,2,2,0,PASS
4,165,0,12,3,2,2,0,PASS
4,330,1,13,3,2,2,0,PASS
4,660,2,14,3,2,2,0,PASS
4,1320,3,15,3,2,2,0,PASS
5,167,0,12,2,1,2,1,PASS
5,334,1,13,2,1,2,1,PASS
5,668,2,14,2,1,2,1,PASS
5,1336,3,15,2,1,2,1,PASS
4,169,0,12,3,2,2,0,PASS
4,338,1,13,3,2,2,0,PASS
4,676,2,14,3,2,2,0,PASS
4,1352,3,15,3,2,2,0,PASS
5,171,0,12,2,1,2,1,PASS
5,342,1,13,2,1,2,1,PASS
5,684,2,14,2,1,2,1,PASS
5,1368,3,15,2,1,2,1,PASS
5,173,0,12,2,1,2,1,PASS
5,346,1,13,2,1,2,1,PASS
5,692,2,14,2,1,2,1,PASS
5,1384,3,15,2,1,2,1,PASS
6,175,0,12,1,0,2,2,PASS
6,350,1,13,1,0,2,2,PASS
6,700,2,14,1,0,2,2,PASS
6,1400,3,15,1,0,2,2,PASS
4,177,0,12,3,2,2,0,PASS
4,354,1,13,3,2,2,0,PASS
4,708,2,14,3,2,2,0,PASS
4,1416,3,15,3,2,2,0,PASS
5,179,0,12,2,1,2,1,PASS
5,358,1,13,2,1,2,1,PASS
5,716,2,14,2,1,2,1,PASS
5,1432,3,15,2,1,2,1,PASS
5,181,0,12,2,1,2,1,PASS
5,362,1,13,2,1,2,1,PASS
5,724,2,14,2,1,2,1,PASS
5,1448,3,15,2,1,2,1,PASS
6,183,0,12,1,0,2,2,PASS
6,366,1,13,1,0,2,2,PASS
6,732,2,14,1,0,2,2,PASS
6,1464,3,15,1,0,2,2,PASS
5,185,0,12,2,1,2,1,PASS
5,370,1,13,2,1,2,1,PASS
5,740,2,14,2,1,2,1,PASS
5,1480,3,15,2,1,2,1,PASS
6,187,0,12,1,0,2,2,PASS
6,374,1,13,1,0,2,2,PASS
6,748,2,14,1,0,2,2,PASS
6,1496,3,15,1,0,2,2,PASS
6,189,0,12,1,0,2,2,PASS
6,378,1,13,1,0,2,2,PASS
6,756,2,14,1,0,2,2,PASS
6,1512,3,15,1,0,2,2,PASS
4,197,0,12,3,2,2,0,PASS
4,394,1,13,3,2,2,0,PASS
4,788,2,14,3,2,2,0,PASS
4,1576,3,15,3,2,2,0,PASS
5,199,0,12,2,1,2,1,PASS
5,398,1,13,2,1,2,1,PASS
5,796,2,14,2,1,2,1,PASS
5,1592,3,15,2,1,2,1,PASS
4,201,0,12,3,2,2,0,PASS
4,402,1,13,3,2,2,0,PASS
4,804,2,14,3,2,2,0,PASS
4,1608,3,15,3,2,2,0,PASS
5,203,0,12,2,1,2,1,PASS
5,406,1,13,2,1,2,1,PASS
5,812,2,14,2,1,2,1,PASS
5,1624,3,15,2,1,2,1,PASS
5,205,0,12,2,1,2,1,PASS
5,410,1,13,2,1,2,1,PASS
5,820,2,14,2,1,2,1,PASS
5,1640,3,15,2,1,2,1,PASS
6,207,0,12,1,0,2,2,PASS
6,414,1,13,1,0,2,2,PASS
6,828,2,14,1,0,2,2,PASS
6,1656,3,15,1,0,2,2,PASS
4,209,0,12,3,2,2,0,PASS
4,418,1,13,3,2,2,0,PASS
4,836,2,14,3,2,2,0,PASS
4,1672,3,15,3,2,2,0,PASS
5,211,0,12,2,1,2,1,PASS
5,422,1,13,2,1,2,1,PASS
5,844,2,14,2,1,2,1,PASS
5,1688,3,15,2,1,2,1,PASS
5,213,0,12,2,1,2,1,PASS
5,426,1,13,2,1,2,1,PASS
5,852,2,14,2,1,2,1,PASS
5,1704,3,15,2,1,2,1,PASS
6,215,0,12,1,0,2,2,PASS
6,430,1,13,1,0,2,2,PASS
6,860,2,14,1,0,2,2,PASS
6,1720,3,15,1,0,2,2,PASS
5,217,0,12,2,1,2,1,PASS
5,434,1,13,2,1,2,1,PASS
5,868,2,14,2,1,2,1,PASS
5,1736,3,15,2,1,2,1,PASS
6,219,0,12,1,0,2,2,PASS
6,438,1,13,1,0,2,2,PASS
6,876,2,14,1,0,2,2,PASS
6,1752,3,15,1,0,2,2,PASS
6,221,0,12,1,0,2,2,PASS
6,442,1,13,1,0,2,2,PASS
6,884,2,14,1,0,2,2,PASS
6,1768,3,15,1,0,2,2,PASS
5,227,0,12,2,1,2,1,PASS
5,454,1,13,2,1,2,1,PASS
5,908,2,14,2,1,2,1,PASS
5,1816,3,15,2,1,2,1,PASS
5,229,0,12,2,1,2,1,PASS
5,458,1,13,2,1,2,1,PASS
5,916,2,14,2,1,2,1,PASS
5,1832,3,15,2,1,2,1,PASS
6,231,0,12,1,0,2,2,PASS
6,462,1,13,1,0,2,2,PASS
6,924,2,14,1,0,2,2,PASS
6,1848,3,15,1,0,2,2,PASS
5,233,0,12,2,1,2,1,PASS
5,466,1,13,2,1,2,1,PASS
5,932,2,14,2,1,2,1,PASS
5,1864,3,15,2,1,2,1,PASS
6,235,0,12,1,0,2,2,PASS
6,470,1,13,1,0,2,2,PASS
6,940,2,14,1,0,2,2,PASS
6,1880,3,15,1,0,2,2,PASS
6,237,0,12,1,0,2,2,PASS
6,474,1,13,1,0,2,2,PASS
6,948,2,14,1,0,2,2,PASS
6,1896,3,15,1,0,2,2,PASS
5,241,0,12,2,1,2,1,PASS
5,482,1,13,2,1,2,1,PASS
5,964,2,14,2,1,2,1,PASS
5,1928,3,15,2,1,2,1,PASS
6,243,0,12,1,0,2,2,PASS
6,486,1,13,1,0,2,2,PASS
6,972,2,14,1,0,2,2,PASS
6,1944,3,15,1,0,2,2,PASS
6,245,0,12,1,0,2,2,PASS
6,490,1,13,1,0,2,2,PASS
6,980,2,14,1,0,2,2,PASS
6,1960,3,15,1,0,2,2,PASS
6,249,0,12,1,0,2,2,PASS
6,498,1,13,1,0,2,2,PASS
6,996,2,14,1,0,2,2,PASS
6,1992,3,15,1,0,2,2,PASS
3,273,0,13,4,2,2,0,PASS
3,546,1,14,4,2,2,0,PASS
3,1092,2,15,4,2,2,0,PASS
3,2184,3,16,4,2,2,0,PASS
4,275,0,13,3,2,2,0,PASS
4,550,1,14,3,2,2,0,PASS
4,1100,2,15,3,2,2,0,PASS
4,2200,3,16,3,2,2,0,PASS
4,277,0,13,3,2,2,0,PASS
4,554,1,14,3,2,2,0,PASS
4,1108,2,15,3,2,2,0,PASS
4,2216,3,16,3,2,2,0,PASS
5,279,0,13,2,1,2,1,PASS
5,558,1,14,2,1,2,1,PASS
5,1116,2,15,2,1,2,1,PASS
5,2232,3,16,2,1,2,1,PASS
4,281,0,13,3,2,2,0,PASS
4,562,1,14,3,2,2,0,PASS
4,1124,2,15,3,2,2,0,PASS
4,2248,3,16,3,2,2,0,PASS
5,283,0,13,2,1,2,1,PASS
5,566,1,14,2,1,2,1,PASS
5,1132,2,15,2,1,2,1,PASS
5,2264,3,16,2,1,2,1,PASS
5,285,0,13,2,1,2,1,PASS
5,570,1,14,2,1,2,1,PASS
5,1140,2,15,2,1,2,1,PASS
5,2280,3,16,2,1,2,1,PASS
6,287,0,13,1,0,2,2,PASS
6,574,1,14,1,0,2,2,PASS
6,1148,2,15,1,0,2,2,PASS
6,2296,3,16,1,0,2,2,PASS
4,291,0,13,3,2,2,0,PASS
4,582,1,14,3,2,2,0,PASS
4,1164,2,15,3,2,2,0,PASS
4,2328,3,16,3,2,2,0,PASS
4,293,0,13,3,2,2,0,PASS
4,586,1,14,3,2,2,0,PASS
4,1172,2,15,3,2,2,0,PASS
