wtB,B,shift_t,R,wA,cA,required_f,Kres,status
6,429,0,13,1,0,2,2,PASS
6,858,1,14,1,0,2,2,PASS
6,1716,2,15,1,0,2,2,PASS
6,3432,3,16,1,0,2,2,PASS
5,433,0,13,2,1,2,1,PASS
5,866,1,14,2,1,2,1,PASS
5,1732,2,15,2,1,2,1,PASS
5,3464,3,16,2,1,2,1,PASS
6,435,0,13,1,0,2,2,PASS
6,870,1,14,1,0,2,2,PASS
6,1740,2,15,1,0,2,2,PASS
6,3480,3,16,1,0,2,2,PASS
6,437,0,13,1,0,2,2,PASS
6,874,1,14,1,0,2,2,PASS
6,1748,2,15,1,0,2,2,PASS
6,3496,3,16,1,0,2,2,PASS
6,441,0,13,1,0,2,2,PASS
6,882,1,14,1,0,2,2,PASS
6,1764,2,15,1,0,2,2,PASS
6,3528,3,16,1,0,2,2,PASS
5,453,0,13,2,1,2,1,PASS
5,906,1,14,2,1,2,1,PASS
5,1812,2,15,2,1,2,1,PASS
5,3624,3,16,2,1,2,1,PASS
6,455,0,13,1,0,2,2,PASS
6,910,1,14,1,0,2,2,PASS
6,1820,2,15,1,0,2,2,PASS
6,3640,3,16,1,0,2,2,PASS
5,457,0,13,2,1,2,1,PASS
5,914,1,14,2,1,2,1,PASS
5,1828,2,15,2,1,2,1,PASS
5,3656,3,16,2,1,2,1,PASS
6,459,0,13,1,0,2,2,PASS
6,918,1,14,1,0,2,2,PASS
6,1836,2,15,1,0,2,2,PASS
6,3672,3,16,1,0,2,2,PASS
6,461,0,13,1,0,2,2,PASS
6,922,1,14,1,0,2,2,PASS
6,1844,2,15,1,0,2,2,PASS
6,3688,3,16,1,0,2,2,PASS
5,465,0,13,2,1,2,1,PASS
5,930,1,14,2,1,2,1,PASS
5,1860,2,15,2,1,2,1,PASS
5,3720,3,16,2,1,2,1,PASS
6,467,0,13,1,0,2,2,PASS
6,934,1,14,1,0,2,2,PASS
6,1868,2,15,1,0,2,2,PASS
6,3736,3,16,1,0,2,2,PASS
6,469,0,13,1,0,2,2,PASS
6,938,1,14,1,0,2,2,PASS
6,1876,2,15,1,0,2,2,PASS
6,3752,3,16,1,0,2,2,PASS
6,473,0,13,1,0,2,2,PASS
6,946,1,14,1,0,2,2,PASS
6,1892,2,15,1,0,2,2,PASS
6,3784,3,16,1,0,2,2,PASS
6,483,0,13,1,0,2,2,PASS
6,966,1,14,1,0,2,2,PASS
6,1932,2,15,1,0,2,2,PASS
6,3864,3,16,1,0,2,2,PASS
6,485,0,13,1,0,2,2,PASS
6,970,1,14,1,0,2,2,PASS
6,1940,2,15,1,0,2,2,PASS
6,3880,3,16,1,0,2,2,PASS
6,489,0,13,1,0,2,2,PASS
6,978,1,14,1,0,2,2,PASS
6,1956,2,15,1,0,2,2,PASS
6,3912,3,16,1,0,2,2,PASS
6,497,0,13,1,0,2,2,PASS
6,994,1,14,1,0,2,2,PASS
6,1988,2,15,1,0,2,2,PASS
6,3976,3,16,1,0,2,2,PASS
4,547,0,14,3,2,2,0,PASS
4,1094,1,15,3,2,2,0,PASS
4,2188,2,16,3,2,2,0,PASS
4,4376,3,17,3,2,2,0,PASS
4,549,0,14,3,2,2,0,PASS
4,1098,1,15,3,2,2,0,PASS
4,2196,2,16,3,2,2,0,PASS
4,4392,3,17,3,2,2,0,PASS
5,551,0,14,2,1,2,1,PASS
5,1102,1,15,2,1,2,1,PASS
5,2204,2,16,2,1,2,1,PASS
5,4408,3,17,2,1,2,1,PASS
4,553,0,14,3,2,2,0,PASS
4,1106,1,15,3,2,2,0,PASS
4,2212,2,16,3,2,2,0,PASS
4,4424,3,17,3,2,2,0,PASS
5,555,0,14,2,1,2,1,PASS
5,1110,1,15,2,1,2,1,PASS
5,2220,2,16,2,1,2,1,PASS
5,4440,3,17,2,1,2,1,PASS
5,557,0,14,2,1,2,1,PASS
5,1114,1,15,2,1,2,1,PASS
5,2228,2,16,2,1,2,1,PASS
5,4456,3,17,2,1,2,1,PASS
6,559,0,14,1,0,2,2,PASS
6,1118,1,15,1,0,2,2,PASS
6,2236,2,16,1,0,2,2,PASS
6,4472,3,17,1,0,2,2,PASS
4,561,0,14,3,2,2,0,PASS
4,1122,1,15,3,2,2,0,PASS
4,2244,2,16,3,2,2,0,PASS
4,4488,3,17,3,2,2,0,PASS
5,563,0,14,2,1,2,1,PASS
5,1126,1,15,2,1,2,1,PASS
5,2252,2,16,2,1,2,1,PASS
5,4504,3,17,2,1,2,1,PASS
5,565,0,14,2,1,2,1,PASS
5,1130,1,15,2,1,2,1,PASS
5,2260,2,16,2,1,2,1,PASS
5,4520,3,17,2,1,2,1,PASS
6,567,0,14,1,0,2,2,PASS
6,1134,1,15,1,0,2,2,PASS
6,2268,2,16,1,0,2,2,PASS
6,4536,3,17,1,0,2,2,PASS
5,569,0,14,2,1,2,1,PASS
5,1138,1,15,2,1,2,1,PASS
5,2276,2,16,2,1,2,1,PASS
5,4552,3,17,2,1,2,1,PASS
6,571,0,14,1,0,2,2,PASS
6,1142,1,15,1,0,2,2,PASS
6,2284,2,16,1,0,2,2,PASS
6,4568,3,17,1,0,2,2,PASS
6,573,0,14,1,0,2,2,PASS
6,1146,1,15,1,0,2,2,PASS
6,2292,2,16,1,0,2,2,PASS
6,4584,3,17,1,0,2,2,PASS
4,581,0,14,3,2,2,0,PASS
4,1162,1,15,3,2,2,0,PASS
4,2324,2,16,3,2,2,0,PASS
4,4648,3,17,3,2,2,0,PASS
5,583,0,14,2,1,2,1,PASS
5,1166,1,15,2,1,2,1,PASS
5,2332,2,16,2,1,2,1,PASS
5,4664,3,17,2,1,2,1,PASS
4,585,0,14,3,2,2,0,PASS
4,1170,1,15,3,2,2,0,PASS
4,2340,2,16,3,2,2,0,PASS
4,4680,3,17,3,2,2,0,PASS
5,587,0,14,2,1,2,1,PASS
5,1174,1,15,2,1,2,1,PASS
5,2348,2,16,2,1,2,1,PASS
5,4696,3,17,2,1,2,1,PASS
5,589,0,14,2,1,2,1,PASS
5,1178,1,15,2,1,2,1,PASS
5,2356,2,16,2,1,2,1,PASS
5,4712,3,17,2,1,2,1,PASS
6,591,0,14,1,0,2,2,PASS
6,1182,1,15,1,0,2,2,PASS
6,2364,2,16,1,0,2,2,PASS
6,4728,3,17,1,0,2,2,PASS
4,593,0,14,3,2,2,0,PASS
4,1186,1,15,3,2,2,0,PASS
4,2372,2,16,3,2,2,0,PASS
4,4744,3,17,3,2,2,0,PASS
5,595,0,14,2,1,2,1,PASS
5,1190,1,15,2,1,2,1,PASS
5,2380,2,16,2,1,2,1,PASS
5,4760,3,17,2,1,2,1,PASS
5,597,0,14,2,1,2,1,PASS
5,1194,1,15,2,1,2,1,PASS
5,2388,2,16,2,1,2,1,PASS
5,4776,3,17,2,1,2,1,PASS
6,599,0,14,1,0,2,2,PASS
6,1198,1,15,1,0,2,2,PASS
6,2396,2,16,1,0,2,2,PASS
6,4792,3,17,1,0,2,2,PASS
5,601,0,14,2,1,2,1,PASS
5,1202,1,15,2,1,2,1,PASS
5,2404,2,16,2,1,2,1,PASS
5,4808,3,17,2,1,2,1,PASS
6,603,0,14,1,0,2,2,PASS
6,1206,1,15,1,0,2,2,PASS
6,2412,2,16,1,0,2,2,PASS
6,4824,3,17,1,0,2,2,PASS
6,605,0,14,1,0,2,2,PASS
6,1210,1,15,1,0,2,2,PASS
6,2420,2,16,1,0,2,2,PASS
6,4840,3,17,1,0,2,2,PASS
5,611,0,14,2,1,2,1,PASS
5,1222,1,15,2,1,2,1,PASS
5,2444,2,16,2,1,2,1,PASS
5,4888,3,17,2,1,2,1,PASS
5,613,0,14,2,1,2,1,PASS
5,1226,1,15,2,1,2,1,PASS
5,2452,2,16,2,1,2,1,PASS
5,4904,3,17,2,1,2,1,PASS
6,615,0,14,1,0,2,2,PASS
6,1230,1,15,1,0,2,2,PASS
6,2460,2,16,1,0,2,2,PASS
6,4920,3,17,1,0,2,2,PASS
5,617,0,14,2,1,2,1,PASS
5,1234,1,15,2,1,2,1,PASS
5,2468,2,16,2,1,2,1,PASS
5,4936,3,17,2,1,2,1,PASS
6,619,0,14,1,0,2,2,PASS
6,1238,1,15,1,0,2,2,PASS
6,2476,2,16,1,0,2,2,PASS
6,4952,3,17,1,0,2,2,PASS
6,621,0,14,1,0,2,2,PASS
6,1242,1,15,1,0,2,2,PASS
6,2484,2,16,1,0,2,2,PASS
6,4968,3,17,1,0,2,2,PASS
5,625,0,14,2,1,2,1,PASS
5,1250,1,15,2,1,2,1,PASS
5,2500,2,16,2,1,2,1,PASS
5,5000,3,17,2,1,2,1,PASS
6,627,0,14,1,0,2,2,PASS
6,1254,1,15,1,0,2,2,PASS
6,2508,2,16,1,0,2,2,PASS
6,5016,3,17,1,0,2,2,PASS
6,629,0,14,1,0,2,2,PASS
6,1258,1,15,1,0,2,2,PASS
6,2516,2,16,1,0,2,2,PASS
6,5032,3,17,1,0,2,2,PASS
6,633,0,14,1,0,2,2,PASS
6,1266,1,15,1,0,2,2,PASS
6,2532,2,16,1,0,2,2,PASS
6,5064,3,17,1,0,2,2,PASS
4,649,0,14,3,2,2,0,PASS
4,1298,1,15,3,2,2,0,PASS
4,2596,2,16,3,2,2,0,PASS
4,5192,3,17,3,2,2,0,PASS
5,651,0,14,2,1,2,1,PASS
5,1302,1,15,2,1,2,1,PASS
5,2604,2,16,2,1,2,1,PASS
5,5208,3,17,2,1,2,1,PASS
5,653,0,14,2,1,2,1,PASS
5,1306,1,15,2,1,2,1,PASS
5,2612,2,16,2,1,2,1,PASS
5,5224,3,17,2,1,2,1,PASS
6,655,0,14,1,0,2,2,PASS
6,1310,1,15,1,0,2,2,PASS
6,2620,2,16,1,0,2,2,PASS
6,5240,3,17,1,0,2,2,PASS
4,657,0,14,3,2,2,0,PASS
4,1314,1,15,3,2,2,0,PASS
4,2628,2,16,3,2,2,0,PASS
4,5256,3,17,3,2,2,0,PASS
5,659,0,14,2,1,2,1,PASS
5,1318,1,15,2,1,2,1,PASS
5,2636,2,16,2,1,2,1,PASS
5,5272,3,17,2,1,2,1,PASS
5,661,0,14,2,1,2,1,PASS
5,1322,1,15,2,1,2,1,PASS
5,2644,2,16,2,1,2,1,PASS
5,5288,3,17,2,1,2,1,PASS
6,663,0,14,1,0,2,2,PASS
6,1326,1,15,1,0,2,2,PASS
6,2652,2,16,1,0,2,2,PASS
6,5304,3,17,1,0,2,2,PASS
5,665,0,14,2,1,2,1,PASS
5,1330,1,15,2,1,2,1,PASS
5,2660,2,16,2,1,2,1,PASS
5,5320,3,17,2,1,2,1,PASS
6,667,0,14,1,0,2,2,PASS
6,1334,1,15,1,0,2,2,PASS
6,2668,2,16,1,0,2,2,PASS
6,5336,3,17,1,0,2,2,PASS
6,669,0,14,1,0,2,2,PASS
6,1338,1,15,1,0,2,2,PASS
6,2676,2,16,1,0,2,2,PASS
6,5352,3,17,1,0,2,2,PASS
5,675,0,14,2,1,2,1,PASS
5,1350,1,15,2,1,2,1,PASS
5,2700,2,16,2,1,2,1,PASS
5,5400,3,17,2,1,2,1,PASS
5,677,0,14,2,1,2,1,PASS
5,1354,1,15,2,1,2,1,PASS
5,2708,2,16,2,1,2,1,PASS
5,5416,3,17,2,1,2,1,PASS
6,679,0,14,1,0,2,2,PASS
6,1358,1,15,1,0,2,2,PASS
6,2716,2,16,1,0,2,2,PASS
6,5432,3,17,1,0,2,2,PASS
5,681,0,14,2,1,2,1,PASS
5,1362,1,15,2,1,2,1,PASS
5,2724,2,16,2,1,2,1,PASS
5,5448,3,17,2,1,2,1,PASS
6,683,0,14,1,0,2,2,PASS
6,1366,1,15,1,0,2,2,PASS
6,2732,2,16,1,0,2,2,PASS
6,5464,3,17,1,0,2,2,PASS
6,685,0,14,1,0,2,2,PASS
6,1370,1,15,1,0,2,2,PASS
6,2740,2,16,1,0,2,2,PASS
6,5480,3,17,1,0,2,2,PASS
5,689,0,14,2,1,2,1,PASS
5,1378,1,15,2,1,2,1,PASS
5,2756,2,16,2,1,2,1,PASS
5,5512,3,17,2,1,2,1,PASS
6,691,0,14,1,0,2,2,PASS
6,1382,1,15,1,0,2,2,PASS
6,2764,2,16,1,0,2,2,PASS
6,5528,3,17,1,0,2,2,PASS
6,693,0,14,1,0,2,2,PASS
6,1386,1,15,1,0,2,2,PASS
6,2772,2,16,1,0,2,2,PASS
6,5544,3,17,1,0,2,2,PASS
6,697,0,14,1,0,2,2,PASS
6,1394,1,15,1,0,2,2,PASS
6,2788,2,16,1,0,2,2,PASS
6,5576,3,17,1,0,2,2,PASS
5,709,0,14,2,1,2,1,PASS
5,1418,1,15,2,1,2,1,PASS
5,2836,2,16,2,1,2,1,PASS
5,5672,3,17,2,1,2,1,PASS
6,711,0,14,1,0,2,2,PASS
6,1422,1,15,1,0,2,2,PASS
6,2844,2,16,1,0,2,2,PASS
6,5688,3,17,1,0,2,2,PASS
5,713,0,14,2,1,2,1,PASS
5,1426,1,15,2,1,2,1,PASS
5,2852,2,16,2,1,2,1,PASS
5,5704,3,17,2,1,2,1,PASS
6,715,0,14,1,0,2,2,PASS
6,1430,1,15,1,0,2,2,PASS
6,2860,2,16,1,0,2,2,PASS
6,5720,3,17,1,0,2,2,PASS
6,717,0,14,1,0,2,2,PASS
6,1434,1,15,1,0,2,2,PASS
6,2868,2,16,1,0,2,2,PASS
6,5736,3,17,1,0,2,2,PASS
5,721,0,14,2,1,2,1,PASS
5,1442,1,15,2,1,2,1,PASS
5,2884,2,16,2,1,2,1,PASS
5,5768,3,17,2,1,2,1,PASS
6,723,0,14,1,0,2,2,PASS
6,1446,1,15,1,0,2,2,PASS
6,2892,2,16,1,0,2,2,PASS
6,5784,3,17,1,0,2,2,PASS
6,725,0,14,1,0,2,2,PASS
6,1450,1,15,1,0,2,2,PASS
6,2900,2,16,1,0,2,2,PASS
6,5800,3,17,1,0,2,2,PASS
6,729,0,14,1,0,2,2,PASS
6,1458,1,15,1,0,2,2,PASS
6,2916,2,16,1,0,2,2,PASS
6,5832,3,17,1,0,2,2,PASS
6,739,0,14,1,0,2,2,PASS
6,1478,1,15,1,0,2,2,PASS
6,2956,2,16,1,0,2,2,PASS
6,5912,3,17,1,0,2,2,PASS
6,741,0,14,1,0,2,2,PASS
6,1482,1,15,1,0,2,2,PASS
6,2964,2,16,1,0,2,2,PASS
6,5928,3,17,1,0,2,2,PASS
6,745,0,14,1,0,2,2,PASS
6,1490,1,15,1,0,2,2,PASS
6,2980,2,16,1,0,2,2,PASS
6,5960,3,17,1,0,2,2,PASS
6,753,0,14,1,0,2,2,PASS
6,1506,1,15,1,0,2,2,PASS
6,3012,2,16,1,0,2,2,PASS
6,6024,3,17,1,0,2,2,PASS
4,785,0,14,3,2,2,0,PASS
4,1570,1,15,3,2,2,0,PASS
4,3140,2,16,3,2,2,0,PASS
4,6280,3,17,3,2,2,0,PASS
5,787,0,14,2,1,2,1,PASS
5,1574,1,15,2,1,2,1,PASS
5,3148,2,16,2,1,2,1,PASS
5,6296,3,17,2,1,2,1,PASS
5,789,0,14,2,1,2,1,PASS
5,1578,1,15,2,1,2,1,PASS
5,3156,2,16,2,1,2,1,PASS
5,6312,3,17,2,1,2,1,PASS
6,791,0,14,1,0,2,2,PASS
6,1582,1,15,1,0,2,2,PASS
6,3164,2,16,1,0,2,2,PASS
6,6328,3,17,1,0,2,2,PASS
5,793,0,14,2,1,2,1,PASS
5,1586,1,15,2,1,2,1,PASS
5,3172,2,16,2,1,2,1,PASS
5,6344,3,17,2,1,2,1,PASS
6,795,0,14,1,0,2,2,PASS
6,1590,1,15,1,0,2,2,PASS
6,3180,2,16,1,0,2,2,PASS
6,6360,3,17,1,0,2,2,PASS
6,797,0,14,1,0,2,2,PASS
6,1594,1,15,1,0,2,2,PASS
6,3188,2,16,1,0,2,2,PASS
6,6376,3,17,1,0,2,2,PASS
5,803,0,14,2,1,2,1,PASS
5,1606,1,15,2,1,2,1,PASS
5,3212,2,16,2,1,2,1,PASS
5,6424,3,17,2,1,2,1,PASS
5,805,0,14,2,1,2,1,PASS
5,1610,1,15,2,1,2,1,PASS
5,3220,2,16,2,1,2,1,PASS
5,6440,3,17,2,1,2,1,PASS
6,807,0,14,1,0,2,2,PASS
6,1614,1,15,1,0,2,2,PASS
6,3228,2,16,1,0,2,2,PASS
6,6456,3,17,1,0,2,2,PASS
5,809,0,14,2,1,2,1,PASS
5,1618,1,15,2,1,2,1,PASS
5,3236,2,16,2,1,2,1,PASS
5,6472,3,17,2,1,2,1,PASS
6,811,0,14,1,0,2,2,PASS
6,1622,1,15,1,0,2,2,PASS
6,3244,2,16,1,0,2,2,PASS
6,6488,3,17,1,0,2,2,PASS
6,813,0,14,1,0,2,2,PASS
6,1626,1,15,1,0,2,2,PASS
6,3252,2,16,1,0,2,2,PASS
6,6504,3,17,1,0,2,2,PASS
5,817,0,14,2,1,2,1,PASS
5,1634,1,15,2,1,2,1,PASS
5,3268,2,16,2,1,2,1,PASS
5,6536,3,17,2,1,2,1,PASS
6,819,0,14,1,0,2,2,PASS
6,1638,1,15,1,0,2,2,PASS
6,3276,2,16,1,0,2,2,PASS
6,6552,3,17,1,0,2,2,PASS
6,821,0,14,1,0,2,2,PASS
6,1642,1,15,1,0,2,2,PASS
6,3284,2,16,1,0,2,2,PASS
6,6568,3,17,1,0,2,2,PASS
6,825,0,14,1,0,2,2,PASS
6,1650,1,15,1,0,2,2,PASS
6,3300,2,16,1,0,2,2,PASS
6,6600,3,17,1,0,2,2,PASS
5,837,0,14,2,1,2,1,PASS
5,1674,1,15,2,1,2,1,PASS
5,3348,2,16,2,1,2,1,PASS
5,6696,3,17,2,1,2,1,PASS
6,839,0,14,1,0,2,2,PASS
6,1678,1,15,1,0,2,2,PASS
6,3356,2,16,1,0,2,2,PASS
6,6712,3,17,1,0,2,2,PASS
5,841,0,14,2,1,2,1,PASS
5,1682,1,15,2,1,2,1,PASS
5,3364,2,16,2,1,2,1,PASS
5,6728,3,17,2,1,2,1,PASS
6,843,0,14,1,0,2,2,PASS
6,1686,1,15,1,0,2,2,PASS
6,3372,2,16,1,0,2,2,PASS
6,6744,3,17,1,0,2,2,PASS
6,845,0,14,1,0,2,2,PASS
6,1690,1,15,1,0,2,2,PASS
6,3380,2,16,1,0,2,2,PASS
6,6760,3,17,1,0,2,2,PASS
5,849,0,14,2,1,2,1,PASS
5,1698,1,15,2,1,2,1,PASS
5,3396,2,16,2,1,2,1,PASS
5,6792,3,17,2,1,2,1,PASS
6,851,0,14,1,0,2,2,PASS
6,1702,1,15,1,0,2,2,PASS
6,3404,2,16,1,0,2,2,PASS
6,6808,3,17,1,0,2,2,PASS
6,853,0,14,1,0,2,2,PASS
6,1706,1,15,1,0,2,2,PASS
6,3412,2,16,1,0,2,2,PASS
6,6824,3,17,1,0,2,2,PASS
6,857,0,14,1,0,2,2,PASS
6,1714,1,15,1,0,2,2,PASS
6,3428,2,16,1,0,2,2,PASS
6,6856,3,17,1,0,2,2,PASS
6,867,0,14,1,0,2,2,PASS
6,1734,1,15,1,0,2,2,PASS
6,3468,2,16,1,0,2,2,PASS
6,6936,3,17,1,0,2,2,PASS
6,869,0,14,1,0,2,2,PASS
6,1738,1,15,1,0,2,2,PASS
6,3476,2,16,1,0,2,2,PASS
6,6952,3,17,1,0,2,2,PASS
6,873,0,14,1,0,2,2,PASS
6,1746,1,15,1,0,2,2,PASS
6,3492,2,16,1,0,2,2,PASS
6,6984,3,17,1,0,2,2,PASS
6,881,0,14,1,0,2,2,PASS
6,1762,1,15,1,0,2,2,PASS
6,3524,2,16,1,0,2,2,PASS
6,7048,3,17,1,0,2,2,PASS
5,905,0,14,2,1,2,1,PASS
5,1810,1,15,2,1,2,1,PASS
5,3620,2,16,2,1,2,1,PASS
5,7240,3,17,2,1,2,1,PASS
6,907,0,14,1,0,2,2,PASS
6,1814,1,15,1,0,2,2,PASS
6,3628,2,16,1,0,2,2,PASS
6,7256,3,17,1,0,2,2,PASS
6,909,0,14,1,0,2,2,PASS
6,1818,1,15,1,0,2,2,PASS
6,3636,2,16,1,0,2,2,PASS
6,7272,3,17,1,0,2,2,PASS
5,913,0,14,2,1,2,1,PASS
5,1826,1,15,2,1,2,1,PASS
5,3652,2,16,2,1,2,1,PASS
5,7304,3,17,2,1,2,1,PASS
6,915,0,14,1,0,2,2,PASS
6,1830,1,15,1,0,2,2,PASS
6,3660,2,16,1,0,2,2,PASS
6,7320,3,17,1,0,2,2,PASS
6,917,0,14,1,0,2,2,PASS
6,1834,1,15,1,0,2,2,PASS
6,3668,2,16,1,0,2,2,PASS
6,7336,3,17,1,0,2,2,PASS
6,921,0,14,1,0,2,2,PASS
6,1842,1,15,1,0,2,2,PASS
6,3684,2,16,1,0,2,2,PASS
6,7368,3,17,1,0,2,2,PASS
6,931,0,14,1,0,2,2,PASS
6,1862,1,15,1,0,2,2,PASS
6,3724,2,16,1,0,2,2,PASS
6,7448,3,17,1,0,2,2,PASS
6,933,0,14,1,0,2,2,PASS
6,1866,1,15,1,0,2,2,PASS
6,3732,2,16,1,0,2,2,PASS
6,7464,3,17,1,0,2,2,PASS
6,937,0,14,1,0,2,2,PASS
6,1874,1,15,1,0,2,2,PASS
6,3748,2,16,1,0,2,2,PASS
6,7496,3,17,1,0,2,2,PASS
6,945,0,14,1,0,2,2,PASS
6,1890,1,15,1,0,2,2,PASS
6,3780,2,16,1,0,2,2,PASS
6,7560,3,17,1,0,2,2,PASS
6,965,0,14,1,0,2,2,PASS
6,1930,1,15,1,0,2,2,PASS
6,3860,2,16,1,0,2,2,PASS
6,7720,3,17,1,0,2,2,PASS
6,969,0,14,1,0,2,2,PASS
6,1938,1,15,1,0,2,2,PASS
6,3876,2,16,1,0,2,2,PASS
6,7752,3,17,1,0,2,2,PASS
6,977,0,14,1,0,2,2,PASS
6,1954,1,15,1,0,2,2,PASS
6,3908,2,16,1,0,2,2,PASS
6,7816,3,17,1,0,2,2,PASS
4,1093,0,15,3,2,2,0,PASS
4,2186,1,16,3,2,2,0,PASS
4,4372,2,17,3,2,2,0,PASS
4,8744,3,18,3,2,2,0,PASS
5,1095,0,15,2,1,2,1,PASS
5,2190,1,16,2,1,2,1,PASS
5,4380,2,17,2,1,2,1,PASS
5,8760,3,18,2,1,2,1,PASS
4,1097,0,15,3,2,2,0,PASS
4,2194,1,16,3,2,2,0,PASS
4,4388,2,17,3,2,2,0,PASS
4,8776,3,18,3,2,2,0,PASS
5,1099,0,15,2,1,2,1,PASS
5,2198,1,16,2,1,2,1,PASS
5,4396,2,17,2,1,2,1,PASS
5,8792,3,18,2,1,2,1,PASS
5,1101,0,15,2,1,2,1,PASS
5,2202,1,16,2,1,2,1,PASS
5,4404,2,17,2,1,2,1,PASS
5,8808,3,18,2,1,2,1,PASS
6,1103,0,15,1,0,2,2,PASS
6,2206,1,16,1,0,2,2,PASS
6,4412,2,17,1,0,2,2,PASS
6,8824,3,18,1,0,2,2,PASS
4,1105,0,15,3,2,2,0,PASS
4,2210,1,16,3,2,2,0,PASS
4,4420,2,17,3,2,2,0,PASS
4,8840,3,18,3,2,2,0,PASS
5,1107,0,15,2,1,2,1,PASS
5,2214,1,16,2,1,2,1,PASS
5,4428,2,17,2,1,2,1,PASS
5,8856,3,18,2,1,2,1,PASS
5,1109,0,15,2,1,2,1,PASS
5,2218,1,16,2,1,2,1,PASS
5,4436,2,17,2,1,2,1,PASS
5,8872,3,18,2,1,2,1,PASS
6,1111,0,15,1,0,2,2,PASS
6,2222,1,16,1,0,2,2,PASS
6,4444,2,17,1,0,2,2,PASS
6,8888,3,18,1,0,2,2,PASS
5,1113,0,15,2,1,2,1,PASS
5,2226,1,16,2,1,2,1,PASS
5,4452,2,17,2,1,2,1,PASS
5,8904,3,18,2,1,2,1,PASS
6,1115,0,15,1,0,2,2,PASS
6,2230,1,16,1,0,2,2,PASS
6,4460,2,17,1,0,2,2,PASS
6,8920,3,18,1,0,2,2,PASS
6,1117,0,15,1,0,2,2,PASS
6,2234,1,16,1,0,2,2,PASS
6,4468,2,17,1,0,2,2,PASS
6,8936,3,18,1,0,2,2,PASS
5,1123,0,15,2,1,2,1,PASS
5,2246,1,16,2,1,2,1,PASS
5,4492,2,17,2,1,2,1,PASS
5,8984,3,18,2,1,2,1,PASS
5,1125,0,15,2,1,2,1,PASS
5,2250,1,16,2,1,2,1,PASS
5,4500,2,17,2,1,2,1,PASS
5,9000,3,18,2,1,2,1,PASS
6,1127,0,15,1,0,2,2,PASS
6,2254,1,16,1,0,2,2,PASS
6,4508,2,17,1,0,2,2,PASS
6,9016,3,18,1,0,2,2,PASS
5,1129,0,15,2,1,2,1,PASS
5,2258,1,16,2,1,2,1,PASS
5,4516,2,17,2,1,2,1,PASS
5,9032,3,18,2,1,2,1,PASS
6,1131,0,15,1,0,2,2,PASS
6,2262,1,16,1,0,2,2,PASS
6,4524,2,17,1,0,2,2,PASS
6,9048,3,18,1,0,2,2,PASS
6,1133,0,15,1,0,2,2,PASS
6,2266,1,16,1,0,2,2,PASS
6,4532,2,17,1,0,2,2,PASS
6,9064,3,18,1,0,2,2,PASS
5,1137,0,15,2,1,2,1,PASS
5,2274,1,16,2,1,2,1,PASS
5,4548,2,17,2,1,2,1,PASS
5,9096,3,18,2,1,2,1,PASS
6,1139,0,15,1,0,2,2,PASS
6,2278,1,16,1,0,2,2,PASS
6,4556,2,17,1,0,2,2,PASS
6,9112,3,18,1,0,2,2,PASS
6,1141,0,15,1,0,2,2,PASS
6,2282,1,16,1,0,2,2,PASS
6,4564,2,17,1,0,2,2,PASS
6,9128,3,18,1,0,2,2,PASS
6,1145,0,15,1,0,2,2,PASS
6,2290,1,16,1,0,2,2,PASS
6,4580,2,17,1,0,2,2,PASS
6,9160,3,18,1,0,2,2,PASS
4,1161,0,15,3,2,2,0,PASS
4,2322,1,16,3,2,2,0,PASS
4,4644,2,17,3,2,2,0,PASS
4,9288,3,18,3,2,2,0,PASS
5,1163,0,15,2,1,2,1,PASS
5,2326,1,16,2,1,2,1,PASS
5,4652,2,17,2,1,2,1,PASS
5,9304,3,18,2,1,2,1,PASS
5,1165,0,15,2,1,2,1,PASS
5,2330,1,16,2,1,2,1,PASS
5,4660,2,17,2,1,2,1,PASS
5,9320,3,18,2,1,2,1,PASS
6,1167,0,15,1,0,2,2,PASS
6,2334,1,16,1,0,2,2,PASS
6,4668,2,17,1,0,2,2,PASS
6,9336,3,18,1,0,2,2,PASS
4,1169,0,15,3,2,2,0,PASS
4,2338,1,16,3,2,2,0,PASS
4,4676,2,17,3,2,2,0,PASS
4,9352,3,18,3,2,2,0,PASS
5,1171,0,15,2,1,2,1,PASS
5,2342,1,16,2,1,2,1,PASS
5,4684,2,17,2,1,2,1,PASS
5,9368,3,18,2,1,2,1,PASS
5,1173,0,15,2,1,2,1,PASS
5,2346,1,16,2,1,2,1,PASS
5,4692,2,17,2,1,2,1,PASS
5,9384,3,18,2,1,2,1,PASS
6,1175,0,15,1,0,2,2,PASS
6,2350,1,16,1,0,2,2,PASS
6,4700,2,17,1,0,2,2,PASS
6,9400,3,18,1,0,2,2,PASS
5,1177,0,15,2,1,2,1,PASS
5,2354,1,16,2,1,2,1,PASS
5,4708,2,17,2,1,2,1,PASS
5,9416,3,18,2,1,2,1,PASS
6,1179,0,15,1,0,2,2,PASS
6,2358,1,16,1,0,2,2,PASS
6,4716,2,17,1,0,2,2,PASS
6,9432,3,18,1,0,2,2,PASS
6,1181,0,15,1,0,2,2,PASS
6,2362,1,16,1,0,2,2,PASS
6,4724,2,17,1,0,2,2,PASS
6,9448,3,18,1,0,2,2,PASS
5,1187,0,15,2,1,2,1,PASS
5,2374,1,16,2,1,2,1,PASS
5,4748,2,17,2,1,2,1,PASS
5,9496,3,18,2,1,2,1,PASS
