n,l,l_star,is_brauer,g1,g2,g3,g4,g5,g6,t,time_sec
17974408,28,28,True,3,2,2,3,2,3,3,199.188
17975432,28,28,True,3,2,2,2,3,3,3,241.558
17991816,28,28,True,3,2,1,3,3,3,3,218.403
18105412,28,28,True,3,1,3,3,3,3,2,213.806
18105416,28,28,True,3,1,3,3,3,2,3,205.653
18105480,28,28,True,3,1,3,3,2,3,3,209.105
18106504,28,28,True,3,1,3,2,3,3,3,225.549
18122888,28,28,True,3,1,2,3,3,3,3,232.03
18385032,28,28,True,3,0,3,3,3,3,3,203.588
19014178,28,28,True,2,3,3,3,3,3,1,137.906
19014180,28,28,True,2,3,3,3,3,2,2,137.701
19014184,28,28,True,2,3,3,3,3,1,3,672.472
19014212,28,28,True,2,3,3,3,2,3,2,132.849
19014216,28,28,True,2,3,3,3,2,2,3,132.765
19014280,28,28,True,2,3,3,3,1,3,3,132.168
19014724,28,28,True,2,3,3,2,3,3,2,139.055
19014728,28,28,True,2,3,3,2,3,2,3,110.138
19014792,28,28,True,2,3,3,2,2,3,3,140.045
19015816,28,28,True,2,3,3,1,3,3,3,439.661
19022916,28,28,True,2,3,2,3,3,3,2,129.135
19022920,28,28,True,2,3,2,3,3,2,3,107.02
19022984,28,28,True,2,3,2,3,2,3,3,106.091
19024008,28,28,True,2,3,2,2,3,3,3,136.428
19040392,28,28,True,2,3,1,3,3,3,3,126.556
19153988,28,28,True,2,2,3,3,3,3,2,391.664
19153992,28,28,True,2,2,3,3,3,2,3,315.363
19154056,28,28,True,2,2,3,3,2,3,3,418.858
19155080,28,28,True,2,2,3,2,3,3,3,424.703
19171464,28,28,True,2,2,2,3,3,3,3,468.573
19433608,28,28,True,2,1,3,3,3,3,3,162.159
21251140,28,29,False,1,3,3,3,3,3,2,1823.23
21251144,29,29,True,1,3,3,3,3,2,3,13178
21251208,28,28,True,1,3,3,3,2,3,3,119.6
21252232,28,28,True,1,3,3,2,3,3,3,760.141
21268616,28,28,True,1,3,2,3,3,3,3,343.331
21530760,28,28,True,1,2,3,3,3,3,3,68.5974
25725064,28,28,True,0,3,3,3,3,3,3,20.6606
35791394,29,29,True,3,3,3,3,3,3,1,276.426
35791396,29,29,True,3,3,3,3,3,2,2,276.067
35791400,29,29,True,3,3,3,3,3,1,3,274.799
35791428,29,29,True,3,3,3,3,2,3,2,273.337
35791432,29,29,True,3,3,3,3,2,2,3,275.271
35791496,29,29,True,3,3,3,3,1,3,3,272.711
35791940,29,29,True,3,3,3,2,3,3,2,274.194
35791944,29,29,True,3,3,3,2,3,2,3,273.645
35792008,29,29,True,3,3,3,2,2,3,3,271.292
35793032,29,29,True,3,3,3,1,3,3,3,273.663
35800132,29,29,True,3,3,2,3,3,3,2,274.296
35800136,28,28,True,3,3,2,3,3,2,3,52.084
35800200,29,29,True,3,3,2,3,2,3,3,307.095
35801224,29,29,True,3,3,2,2,3,3,3,305.768
35817608,29,29,True,3,3,1,3,3,3,3,290.168
35931204,29,29,True,3,2,3,3,3,3,2,291.856
35931208,29,29,True,3,2,3,3,3,2,3,315.479
35931272,29,29,True,3,2,3,3,2,3,3,291.372
35932296,29,29,True,3,2,3,2,3,3,3,278.972
35948680,29,29,True,3,2,2,3,3,3,3,270.733
36210824,29,29,True,3,1,3,3,3,3,3,261.903
38028356,29,29,True,2,3,3,3,3,3,2,168.971
38028360,29,29,True,2,3,3,3,3,2,3,169.297
38028424,29,29,True,2,3,3,3,2,3,3,169.902
38029448,29,29,True,2,3,3,2,3,3,3,178.556
38045832,29,29,True,2,3,2,3,3,3,3,167.613
38307976,29,29,True,2,2,3,3,3,3,3,474.026
42502280,29,30,False,1,3,3,3,3,3,3,2599.96
71582788,30,30,True,3,3,3,3,3,3,2,358.997
71582792,30,30,True,3,3,3,3,3,2,3,359.618
71582856,30,30,True,3,3,3,3,2,3,3,359.187
71583880,30,30,True,3,3,3,2,3,3,3,361.039
71600264,30,30,True,3,3,2,3,3,3,3,359.949
71862408,30,30,True,3,2,3,3,3,3,3,351.8
76056712,30,30,True,2,3,3,3,3,3,3,217.572
143165576,31,31,True,3,3,3,3,3,3,3,468.171
